CaseID,Cruisedbefore,Howmany,Intend,Abiltravel,Abilspend,Motivation_1,Motivation_2,Motivation_3,Motivation_4,Motivation_5,Motivation_6,Motivation_7,Motivation_8,TopDestination,TopCruiseline,TopLength,Demos1,Demos2,Demos3
241,2,0,1,2,3,1,1,1,0,0,0,1,0,3,4,1,2,1,2
242,1,1,1,1,1,1,0,0,0,0,1,0,0,6,1,1,5,2,5
243,1,1,2,3,2,1,1,1,0,0,1,0,0,2,2,1,6,2,6
244,2,0,1,1,3,1,1,1,0,0,1,0,0,3,3,5,6,5,3
245,2,0,2,2,3,1,1,1,0,1,0,0,0,2,3,4,5,4,5
246,2,0,1,1,3,1,1,1,0,0,0,1,0,3,3,1,1,5,6
247,1,3,3,1,3,1,0,0,1,0,1,1,0,5,5,5,2,2,6
249,1,1,1,3,3,0,0,1,0,1,1,1,0,6,1,1,1,2,4
250,2,0,3,2,3,1,1,0,0,1,1,0,0,2,3,1,5,2,1
253,2,0,2,3,2,1,0,0,1,1,1,0,0,4,2,1,4,2,5
254,1,1,3,2,3,1,1,1,0,0,1,0,0,2,3,5,1,2,5
256,1,3,1,1,2,1,0,1,0,0,1,1,0,2,1,1,1,2,2
257,2,0,3,1,3,0,1,1,0,0,1,1,0,2,2,2,2,2,5
258,1,2,1,1,1,0,0,1,0,1,1,1,0,2,6,1,5,2,3
259,2,0,3,2,1,0,0,1,1,0,0,0,0,4,4,2,5,1,3
261,2,0,1,1,3,0,1,1,0,1,0,1,0,4,2,2,1,2,6
263,1,1,2,1,2,0,1,1,0,1,1,0,0,3,3,1,5,5,2
264,1,3,1,2,3,1,0,0,1,0,1,1,0,4,3,4,1,5,3
269,1,5,1,1,1,1,1,1,0,0,1,0,0,6,3,2,1,2,5
270,1,1,1,2,3,1,0,1,0,1,0,1,0,3,2,1,1,2,3
271,1,1,1,1,1,0,1,1,0,0,1,1,0,2,2,5,3,2,5
272,2,0,2,1,1,1,0,1,1,0,0,0,0,6,1,5,5,2,5
273,1,1,2,3,3,1,0,0,0,0,1,1,0,4,3,4,5,2,3
274,1,1,3,2,1,0,1,1,0,1,1,0,0,6,1,1,1,3,5
275,1,3,2,1,1,0,0,0,0,0,1,1,0,2,1,1,5,2,6
276,1,3,1,2,2,0,1,0,0,1,1,1,0,3,4,1,1,5,4
278,2,0,3,3,3,0,0,0,0,0,1,0,0,3,6,4,1,2,3
279,1,1,1,3,3,0,1,1,0,0,1,1,0,2,3,2,4,2,2
280,2,0,1,2,2,1,1,1,0,0,1,0,0,2,4,1,1,2,2
283,1,3,1,3,2,1,0,0,1,0,1,0,0,5,4,1,4,1,3
284,2,0,1,2,2,1,0,1,0,0,1,1,0,3,3,1,4,2,3
285,1,1,3,2,2,0,0,0,0,0,0,1,0,4,2,1,1,2,5
286,2,0,2,2,2,1,0,1,1,0,1,0,0,6,3,1,1,4,4
288,1,3,1,1,1,1,1,0,0,0,0,0,0,2,6,5,5,2,6
290,1,2,1,1,2,1,1,0,0,1,1,0,0,2,1,1,5,4,2
291,2,0,3,3,3,1,0,1,1,0,0,1,0,3,6,1,1,2,3
293,1,1,3,2,2,1,0,1,0,0,1,1,0,4,5,1,4,2,5
294,1,1,2,2,2,0,1,1,0,0,1,1,0,2,3,1,1,2,3
295,1,1,2,2,2,1,0,1,0,0,1,1,0,2,2,1,4,2,3
296,2,0,1,2,2,1,0,1,1,0,1,0,0,2,3,1,1,2,2
297,2,0,1,1,1,1,0,0,0,1,1,1,0,4,6,4,1,1,3
298,2,0,3,1,2,1,0,0,1,0,1,1,0,4,1,1,5,2,2
299,2,0,3,2,2,0,0,0,0,0,1,1,1,3,6,1,6,2,5
301,1,3,2,2,2,0,1,1,0,0,0,0,0,2,2,1,4,2,2
303,2,0,3,2,3,1,0,0,0,0,1,0,0,4,2,1,5,2,3
306,1,1,2,2,3,1,0,0,0,0,1,1,0,4,2,4,1,2,2
307,1,3,1,1,1,0,0,0,1,1,1,0,0,3,4,1,5,2,5
308,2,0,2,2,2,1,0,0,1,0,1,1,0,4,1,1,1,2,5
310,2,0,2,2,2,1,1,1,0,0,0,1,0,2,2,4,4,3,2
311,2,0,2,2,2,1,1,1,0,0,1,0,0,2,3,1,2,2,5
312,1,3,2,2,2,1,0,0,1,0,1,1,0,4,3,5,2,2,6
313,1,3,2,1,1,1,0,0,1,0,0,1,0,3,5,3,5,2,6
314,2,0,2,2,2,1,0,0,1,0,1,0,0,2,3,1,2,2,4
315,2,0,1,2,3,0,0,0,1,0,1,0,0,5,1,1,3,2,3
316,2,0,1,1,3,1,0,0,1,0,1,1,0,4,2,1,5,2,3
317,1,3,3,2,2,0,1,0,0,0,1,1,0,5,3,1,5,2,5
319,2,0,2,2,3,0,1,0,1,0,1,1,0,5,2,3,1,2,5
320,2,0,2,2,2,1,1,0,0,0,1,1,0,6,1,1,3,5,5
321,1,5,2,2,1,1,1,1,0,1,0,0,0,6,3,4,1,2,4
324,1,1,3,3,2,1,0,0,1,0,1,1,0,4,4,1,1,2,3
325,1,1,2,1,2,1,0,0,0,1,1,1,0,5,1,4,2,2,3
327,2,0,3,2,3,1,0,0,0,0,1,0,0,4,3,1,4,2,3
328,2,0,2,2,3,1,0,0,0,1,1,0,0,2,3,5,5,1,1
331,1,1,3,1,2,0,0,0,1,0,0,0,0,6,1,5,5,2,3
332,2,0,3,2,2,0,1,1,0,0,1,0,0,3,6,1,1,2,4
333,1,3,1,1,1,1,1,1,0,0,1,0,0,3,4,5,1,2,2
335,1,3,1,2,2,1,0,0,1,1,1,0,0,2,3,5,2,2,3
338,1,2,2,2,2,0,0,1,0,0,1,1,1,6,1,5,1,1,5
339,2,0,1,2,2,1,1,1,0,0,0,1,0,2,1,4,1,2,6
340,2,0,1,3,1,1,0,0,1,0,1,1,0,3,3,1,1,2,2
341,2,0,2,1,3,1,0,0,0,0,1,1,0,4,6,1,1,2,3
343,1,2,1,1,2,0,1,1,0,0,1,1,0,3,3,1,1,2,6
345,2,0,3,3,1,1,0,0,1,0,1,1,0,4,2,1,5,2,4
350,2,0,3,2,3,1,0,1,0,0,1,0,0,3,4,3,5,2,3
353,2,0,3,2,2,1,0,0,0,0,1,0,0,5,1,5,5,2,2
355,1,3,1,2,2,1,0,0,1,0,1,1,0,2,5,1,1,1,5
356,1,4,1,1,2,0,1,0,0,1,1,1,0,2,3,1,5,5,5
357,1,3,2,2,3,1,0,1,1,0,0,1,0,3,3,1,1,2,4
358,1,2,1,2,2,1,0,0,1,0,1,1,0,4,4,4,1,2,6
359,2,0,1,2,2,1,0,0,1,1,1,0,0,6,2,5,6,2,3
360,1,2,1,1,1,1,1,1,0,0,1,0,0,3,3,5,1,2,4
361,2,0,2,2,2,1,1,1,0,0,0,1,0,2,3,5,1,2,2
363,1,2,2,2,2,1,0,1,0,0,1,1,0,6,3,1,1,2,5
364,2,0,2,2,3,1,1,0,0,0,1,0,0,5,1,4,1,2,4
365,2,0,2,3,3,1,1,0,1,0,1,0,0,2,3,4,1,2,4
366,1,4,1,1,1,1,1,0,1,0,1,0,0,6,1,1,5,2,5
367,1,1,3,1,2,1,0,0,0,0,1,1,0,6,1,3,2,2,5
368,2,0,3,2,2,1,0,1,0,0,1,1,0,6,1,4,5,2,5
369,2,0,2,1,2,0,0,1,1,0,1,1,0,6,2,1,6,2,2
371,2,0,2,2,2,1,0,1,0,0,0,1,0,3,3,1,4,2,3
